case,id,gender,deg,yrdeg,field,startyr,year,rank,admin,salary
1,1,F,Other,92,Other,95,95,Assist,0,6684
2,2,M,Other,91,Other,94,94,Assist,0,4743
3,2,M,Other,91,Other,94,95,Assist,0,4881
4,4,M,PhD,96,Other,95,95,Assist,0,4231
5,6,M,PhD,66,Other,91,91,Full,1,11182
6,6,M,PhD,66,Other,91,92,Full,1,11507
7,6,M,PhD,66,Other,91,93,Full,0,11840
8,6,M,PhD,66,Other,91,94,Full,0,11840
9,6,M,PhD,66,Other,91,95,Full,0,12184
10,7,M,PhD,70,Other,71,76,Assist,0,1730
11,7,M,PhD,70,Other,71,77,Assist,0,1851
12,7,M,PhD,70,Other,71,78,Assist,0,1981
13,7,M,PhD,70,Other,71,79,Assoc,0,2237
14,7,M,PhD,70,Other,71,80,Assoc,0,2410
15,7,M,PhD,70,Other,71,81,Assoc,0,2639
16,7,M,PhD,70,Other,71,82,Assoc,0,2639
17,7,M,PhD,70,Other,71,83,Assoc,0,2784
18,7,M,PhD,70,Other,71,84,Assoc,0,2973
19,7,M,PhD,70,Other,71,85,Assoc,0,2973
20,7,M,PhD,70,Other,71,86,Assoc,0,3063
21,7,M,PhD,70,Other,71,87,Assoc,0,3217
22,7,M,PhD,70,Other,71,88,Assoc,0,3406
23,7,M,PhD,70,Other,71,89,Assoc,0,3643
24,7,M,PhD,70,Other,71,90,Assoc,0,3814
25,7,M,PhD,70,Other,71,91,Assoc,0,3991
26,7,M,PhD,70,Other,71,92,Assoc,0,4165
27,7,M,PhD,70,Other,71,93,Assoc,0,4286
28,7,M,PhD,70,Other,71,94,Assoc,0,4286
29,7,M,PhD,70,Other,71,95,Assoc,0,4604
30,8,M,PhD,75,Other,95,95,Assist,0,4047.674
31,9,M,PhD,82,Other,87,87,Assist,0,4105
32,9,M,PhD,82,Other,87,88,Assist,0,4105
33,9,M,PhD,82,Other,87,89,Assist,0,4393
34,9,M,PhD,82,Other,87,90,Assoc,0,4800
35,9,M,PhD,82,Other,87,91,Assoc,0,5022
36,9,M,PhD,82,Other,87,92,Assoc,0,5168
37,9,M,PhD,82,Other,87,93,Assoc,0,5318
38,9,M,PhD,82,Other,87,94,Assoc,0,5318
39,9,M,PhD,82,Other,87,95,Assoc,0,5472
40,10,M,PhD,68,Arts,80,80,Assoc,0,3250
41,10,M,PhD,68,Arts,80,81,Assoc,0,3671
42,10,M,PhD,68,Arts,80,82,Assoc,0,3831
43,10,M,PhD,68,Arts,80,83,Assoc,0,4042
44,10,M,PhD,68,Arts,80,84,Assoc,0,4317
45,10,M,PhD,68,Arts,80,85,Assoc,0,4317
46,10,M,PhD,68,Arts,80,86,Assoc,0,4708
47,10,M,PhD,68,Arts,80,87,Assoc,0,4944
48,10,M,PhD,68,Arts,80,88,Assoc,0,5015
49,10,M,PhD,68,Arts,80,89,Assoc,1,5846
50,10,M,PhD,68,Arts,80,90,Assoc,1,6120
51,10,M,PhD,68,Arts,80,91,Assoc,1,6590
52,10,M,PhD,68,Arts,80,92,Assoc,1,6781
53,10,M,PhD,68,Arts,80,93,Full,1,7180
54,10,M,PhD,68,Arts,80,94,Full,0,7180
55,10,M,PhD,68,Arts,80,95,Full,0,7494
56,12,M,PhD,64,Other,64,76,Full,0,2339
57,12,M,PhD,64,Other,64,77,Full,0,2502
58,12,M,PhD,64,Other,64,78,Full,0,2628
59,12,M,PhD,64,Other,64,79,Full,0,2895
60,12,M,PhD,64,Other,64,80,Full,0,3058
61,12,M,PhD,64,Other,64,81,Full,0,3417
62,12,M,PhD,64,Other,64,82,Full,0,3619
63,12,M,PhD,64,Other,64,83,Full,0,4798
64,12,M,PhD,64,Other,64,84,Full,0,5052
65,12,M,PhD,64,Other,64,85,Full,0,5052
66,12,M,PhD,64,Other,64,86,Full,0,5203
67,12,M,PhD,64,Other,64,87,Full,0,5464
68,12,M,PhD,64,Other,64,88,Full,0,5786
69,12,M,PhD,64,Other,64,89,Full,0,7743.284
70,12,M,PhD,64,Other,64,90,Full,0,8145
71,12,M,PhD,64,Other,64,91,Full,0,8523
72,12,M,PhD,64,Other,64,92,Full,0,8770
