Date,Year,Month,Recession,Consumer_Confidence,Seasonality_Weight,Price,Advertising_Expenditure,Competition,GDP,Growth_Rate,unemployment_rate,Automobile_Sales,Vehicle_Type,City
1/31/1980,1980,Jan,1,108.24,0.5,27483.571,1558,7,60.223,0.01,5.4,456,Supperminicar,Georgia
2/29/1980,1980,Feb,1,98.75,0.75,24308.678,3048,4,45.986,-0.309594224,4.8,555.9,Supperminicar,New York
3/31/1980,1980,Mar,1,107.48,0.2,28238.443,3137,3,35.141,-0.30861387,3.4,620,Mediumfamilycar,New York
4/30/1980,1980,Apr,1,115.01,1,32615.149,1653,7,45.673,0.230595757,4.2,702.8,Supperminicar,Illinois
5/31/1980,1980,May,1,98.72,0.2,23829.233,1319,4,52.997,0.138196502,5.3,770.4,Smallfamiliycar,California
6/30/1980,1980,Jun,1,105.55,0.75,23829.315,2573,5,20.298,-1.610946891,2.9,754.5,Mediumfamilycar,Illinois
7/31/1980,1980,Jul,1,82.45,0.5,32896.064,2828,3,34.585,0.413098164,2.9,729.6,Supperminicar,Illinois
8/31/1980,1980,Aug,1,98.76,0.25,28837.174,2917,3,55.65,0.378526505,3,734.9,Supperminicar,New York
9/30/1980,1980,Sep,1,87.68,0.07,22652.628,1138,3,33.308,-0.670769785,5.2,705.6,Smallfamiliycar,California
10/31/1980,1980,Oct,1,101.45,0,27712.8,4582,5,42.522,0.216687832,4.4,609.7,Smallfamiliycar,New York
11/30/1980,1980,Nov,1,102.36,0.07,22682.912,4939,5,43.301,0.017990347,2.6,763,Mediumfamilycar,California
12/31/1980,1980,Dec,1,102.33,0.25,22671.351,3892,6,23.539,-0.839542886,3.3,745,Mediumfamilycar,New York
1/31/1981,1981,Jan,1,95.2,0.5,26209.811,3026,8,32.25,0.270108527,5.9,325,Supperminicar,Illinois
2/28/1981,1981,Feb,1,122.98,0.75,15433.599,3306,9,30.891,-0.043993396,5.8,574.3,Mediumfamilycar,California
